attributed_at_date,source_group,source,spend_usd
8/22/22,paid,google ads,"$1,726.34 "
8/22/22,paid,facebook ads,"$1,247.58 "
8/22/22,paid,bing ads,$62.15 
8/21/22,paid,bing ads,$53.28 
8/21/22,paid,google ads,"$2,021.54 "
8/21/22,paid,facebook ads,"$1,194.64 "
8/20/22,paid,facebook ads,"$1,349.36 "
8/20/22,paid,google ads,"$2,296.92 "
8/20/22,paid,bing ads,$51.83 
8/19/22,paid,google ads,"$2,152.33 "
8/19/22,paid,facebook ads,"$1,191.02 "
8/19/22,paid,bing ads,$52.75 
8/18/22,paid,bing ads,$49.50 
8/18/22,paid,facebook ads,$675.39 
8/18/22,paid,google ads,"$2,209.79 "
8/17/22,paid,facebook ads,$683.83 
8/17/22,paid,bing ads,$49.96 
8/17/22,paid,google ads,"$2,131.42 "
8/16/22,paid,bing ads,$56.42 
8/16/22,paid,facebook ads,$719.87 
8/16/22,paid,google ads,"$2,300.06 "
8/15/22,paid,google ads,"$2,376.64 "
8/15/22,paid,bing ads,$50.88 
8/15/22,paid,facebook ads,$574.67 
8/14/22,paid,bing ads,$45.14 
8/14/22,paid,facebook ads,$489.50 
8/14/22,paid,google ads,"$2,950.37 "
8/13/22,paid,facebook ads,$523.97 
8/13/22,paid,google ads,"$2,314.43 "
8/13/22,paid,bing ads,$52.82 
8/12/22,paid,bing ads,$57.33 
8/12/22,paid,google ads,"$1,964.68 "
8/12/22,paid,facebook ads,$69.13 
8/11/22,paid,google ads,"$2,114.59 "
8/11/22,paid,bing ads,$69.50 
8/10/22,paid,bing ads,$70.50 
8/10/22,paid,google ads,"$1,885.82 "
8/9/22,paid,google ads,"$1,938.19 "
8/9/22,paid,bing ads,$71.93 
8/8/22,paid,bing ads,$53.43 
8/8/22,paid,google ads,"$1,864.64 "
8/7/22,paid,google ads,"$2,435.63 "
8/7/22,paid,bing ads,$59.80 
8/6/22,paid,google ads,"$2,199.97 "
8/6/22,paid,bing ads,$39.27 
8/5/22,paid,google ads,"$1,829.36 "
8/5/22,paid,bing ads,$45.88 
8/4/22,paid,bing ads,$66.59 
8/4/22,paid,google ads,"$1,822.99 "
8/3/22,paid,bing ads,$62.98 
8/3/22,paid,google ads,"$1,812.79 "
8/2/22,paid,google ads,"$1,938.78 "
8/2/22,paid,bing ads,$73.36 
8/1/22,paid,bing ads,$73.02 
8/1/22,paid,google ads,"$1,812.13 "
7/31/22,paid,google ads,"$2,127.97 "
7/31/22,paid,bing ads,$67.14 
7/30/22,paid,google ads,"$1,492.28 "
7/30/22,paid,bing ads,$63.02 
7/29/22,paid,bing ads,$66.88 
7/29/22,paid,google ads,"$1,428.30 "
7/28/22,paid,google ads,"$1,509.59 "
7/28/22,paid,affiliate,$64.96 
7/28/22,paid,bing ads,$65.31 
7/27/22,paid,google ads,"$1,706.11 "
7/27/22,paid,bing ads,$63.63 
7/27/22,paid,affiliate,$64.50 
7/26/22,paid,affiliate,$66.47 
7/26/22,paid,google ads,"$1,731.65 "
7/26/22,paid,bing ads,$68.77 
7/25/22,paid,bing ads,$108.68 
7/25/22,paid,affiliate,$55.32 
7/25/22,paid,google ads,"$1,954.78 "
7/24/22,paid,bing ads,$109.99 
7/24/22,paid,google ads,"$1,819.77 "
7/24/22,paid,affiliate,$58.12 
7/23/22,paid,google ads,"$1,441.56 "
7/23/22,paid,affiliate,$58.89 
7/23/22,paid,bing ads,$95.96 
7/22/22,paid,affiliate,$53.79 
7/22/22,paid,bing ads,$111.82 
7/22/22,paid,google ads,"$1,428.85 "
7/21/22,paid,bing ads,$99.42 
7/21/22,paid,google ads,"$1,487.89 "
7/21/22,paid,affiliate,$52.00 
7/20/22,paid,google ads,"$1,459.37 "
7/20/22,paid,affiliate,$56.48 
7/20/22,paid,bing ads,$86.21 
7/19/22,paid,affiliate,$57.96 
7/19/22,paid,google ads,"$1,433.58 "
7/19/22,paid,bing ads,$82.68 
7/18/22,paid,google ads,"$1,313.03 "
7/18/22,paid,bing ads,$100.73 
7/18/22,paid,affiliate,$59.92 
7/17/22,paid,bing ads,$75.66 
7/17/22,paid,affiliate,$56.92 
7/17/22,paid,google ads,"$1,210.01 "
7/16/22,paid,bing ads,$50.50 
7/16/22,paid,affiliate,$58.42 
7/16/22,paid,google ads,$968.57 
7/15/22,paid,google ads,$860.22 
7/15/22,paid,affiliate,$38.31 
7/15/22,paid,bing ads,$47.01 
7/14/22,paid,google ads,$836.65 
7/14/22,paid,affiliate,$34.46 
7/14/22,paid,bing ads,$38.52 
7/13/22,paid,google ads,$995.95 
7/13/22,paid,affiliate,$49.89 
7/13/22,paid,bing ads,$48.62 
7/12/22,paid,google ads,"$1,000.37 "
7/12/22,paid,bing ads,$43.82 
7/12/22,paid,affiliate,$63.86 
7/11/22,paid,affiliate,$64.25 
7/11/22,paid,bing ads,$61.69 
7/11/22,paid,google ads,$896.73 
7/10/22,paid,google ads,$899.66 
7/10/22,paid,bing ads,$99.04 
7/10/22,paid,facebook ads,$228.41 
7/10/22,paid,affiliate,$34.61 
7/9/22,paid,bing ads,$152.34 
7/9/22,paid,affiliate,$37.69 
7/9/22,paid,google ads,$755.53 
7/9/22,paid,facebook ads,$240.34 
7/8/22,paid,facebook ads,$196.64 
7/8/22,paid,affiliate,$114.32 
7/8/22,paid,bing ads,$152.02 
7/8/22,paid,google ads,$773.02 
7/7/22,paid,facebook ads,$211.91 
7/7/22,paid,affiliate,$36.91 
7/7/22,paid,bing ads,$64.95 
7/7/22,paid,google ads,$980.78 
7/6/22,paid,facebook ads,$220.91 
7/6/22,paid,bing ads,$81.51 
7/6/22,paid,google ads,$947.43 
7/6/22,paid,affiliate,$38.76 
7/5/22,paid,bing ads,$80.56 
7/5/22,paid,facebook ads,$224.97 
7/5/22,paid,affiliate,$36.74 
7/5/22,paid,google ads,"$1,099.45 "
7/4/22,paid,facebook ads,$231.73 
7/4/22,paid,affiliate,$37.65 
7/4/22,paid,bing ads,$59.42 
7/4/22,paid,google ads,"$1,215.96 "
7/3/22,paid,affiliate,$36.33 
7/3/22,paid,google ads,"$1,283.03 "
7/3/22,paid,bing ads,$35.09 
7/3/22,paid,facebook ads,$244.95 
7/2/22,paid,bing ads,$32.73 
7/2/22,paid,facebook ads,$221.75 
7/2/22,paid,affiliate,$35.93 
7/2/22,paid,google ads,"$1,097.20 "
7/1/22,paid,bing ads,$34.74 
7/1/22,paid,facebook ads,$220.69 
7/1/22,paid,google ads,$870.45 
7/1/22,paid,affiliate,$34.14 
6/30/22,paid,facebook ads,$217.86 
6/30/22,paid,affiliate,$60.92 
6/30/22,paid,google ads,$832.35 
6/30/22,paid,bing ads,$41.86 
6/29/22,paid,facebook ads,$217.26 
6/29/22,paid,google ads,$868.64 
6/29/22,paid,bing ads,$47.61 
6/29/22,paid,affiliate,$63.76 
6/28/22,paid,affiliate,$63.86 
6/28/22,paid,facebook ads,$228.62 
6/28/22,paid,bing ads,$37.29 
6/28/22,paid,google ads,$673.79 
6/27/22,paid,google ads,$570.69 
6/27/22,paid,facebook ads,$232.63 
6/27/22,paid,bing ads,$45.61 
6/27/22,paid,affiliate,$45.50 
6/26/22,paid,facebook ads,$236.19 
6/26/22,paid,affiliate,$49.57 
6/26/22,paid,bing ads,$54.50 
6/26/22,paid,google ads,$794.51 
6/25/22,paid,google ads,$671.27 
6/25/22,paid,affiliate,$33.41 
6/25/22,paid,facebook ads,$216.67 
6/25/22,paid,bing ads,$33.43 
6/24/22,paid,affiliate,$13.93 
6/24/22,paid,google ads,$436.83 
6/24/22,paid,facebook ads,$211.49 
6/24/22,paid,bing ads,$36.87 
6/23/22,paid,google ads,$497.97 
6/23/22,paid,facebook ads,$223.52 
6/23/22,paid,bing ads,$40.47 
6/22/22,paid,facebook ads,$225.05 
6/22/22,paid,google ads,$783.19 
6/22/22,paid,bing ads,$50.92 
6/21/22,paid,bing ads,$33.47 
6/21/22,paid,google ads,"$1,279.68 "
6/21/22,paid,facebook ads,$226.03 
6/20/22,paid,bing ads,$25.64 
6/20/22,paid,google ads,"$1,207.05 "
6/20/22,paid,facebook ads,$269.97 
6/19/22,paid,facebook ads,$425.62 
6/19/22,paid,google ads,"$1,162.07 "
6/19/22,paid,bing ads,$26.10 
6/18/22,paid,bing ads,$25.29 
6/18/22,paid,google ads,$966.05 
6/18/22,paid,facebook ads,$391.83 
6/17/22,paid,bing ads,$23.63 
6/17/22,paid,google ads,"$1,005.04 "
6/17/22,paid,facebook ads,$391.00 
6/16/22,paid,google ads,"$1,221.03 "
6/16/22,paid,bing ads,$77.00 
6/16/22,paid,facebook ads,$391.81 
6/15/22,paid,google ads,"$1,196.37 "
6/15/22,paid,bing ads,$82.08 
6/15/22,paid,facebook ads,$396.86 
6/14/22,paid,facebook ads,$405.08 
6/14/22,paid,google ads,"$1,297.10 "
6/14/22,paid,bing ads,$71.59 
6/13/22,paid,google ads,"$1,487.03 "
6/13/22,paid,bing ads,$21.98 
6/13/22,paid,facebook ads,$400.12 
6/12/22,paid,bing ads,$19.37 
6/12/22,paid,facebook ads,$423.30 
6/12/22,paid,google ads,"$1,558.33 "
6/11/22,paid,bing ads,$17.11 
